,Job Title,Company,Keywords,Concepts,Technical Skills,Soft Skills,Coding Skills
34,Business Analyst,Yamaha Motor Canada,"['sales data summary', 'sales department.   summary', 'processes. design sales', 'field business analysis', 'preferably statistical analysis', 'complex topics.   key', 'execute post-campaign analysis', 'analyse key performance', 'monitor competitors pricing', 'data warehouse tools', 'data visualization products', 'valuable competitive information.', 'territory strategic plan', 'yamaha motor', 'experience requirements  degree/diploma', 'organization. excellent comprehension', 'microsoft office programs', 'sales analysis', 'marines sales', 'sales intelligence', 'business analyst', 'sales managers', 'business analytics', 'sales initiatives', 'industry data', 'key information', 'building reports', 'product groups', 'ytd results', 'monitor expenses', 'management group.', 'promotion strategies', 'trends. develop', 'experience skills', 'program work-up', 'new marketing', 'asset. knowledge', 'analytical skills', 'statistical programs', 'various projects', 'required. education', 'technical/analytical information', 'recreational vehicles', 'strong attention', 'responsibilities', 'powersport', 'tsp', 'ability', 'decision-making', 'candidate', 'reviews', 'duties', 'area', 'ease', 'budget.', 'value', 'application', 'sas', 'time', 'job', 'indicators', 'ideas']","['Business intelligence', 'Data mining', 'Data management', 'Business terms', 'Statistics', 'Business analyst', 'Business', 'Data', 'Requirements analysis', 'Systems analysis', 'Marketing', 'Scientific method', 'Strategic management', 'Data analysis', 'Data warehouse', 'Yamaha Motor Company', 'Business analysis', 'Analysis', 'Management', 'Knowledge', 'Data warehousing']",['data visualization'],"['communicate', 'communicate', 'verbal']",[]
35,Business System Analyst,TD Bank,"['parties prenantes', 'efforts nécessaires', 'canaux numériques', ""ans d'expérience"", ""besoins d'affaires"", 'applications relatives', 'équipes multidisciplinaires expérience', ""d'une méthodologie agile"", 'témoin d’événements remarquables', ""résultats d'un projet"", 'exigences opérationnelles', 'td bank', 'capacité éprouvée', 'méthodes agile', 'excellentes compétences', 'méthodologies agile', 'rendement pertinent', 'accord final', ""projets d'affaires"", 'responsabilités énoncées', 'portée changeantes', 'échelon supérieur', 'job requirements', ""mesures d'évaluation"", 'perfectionnement professionnel', 'multiples projets', 'constante évolution', 'excellente aptitude', ""l'état futur"", 'œuvre itérative', 'critères suivants', 'solides compétences', 'contraintes liés', 'compétences supérieures', 'partenaires technologiques', 'proposition auprès', ""charge l'exécution"", 'l’objectif poursuivi', 'compétences avancées', ""l'état actuel"", 'objectifs stratégiques', 'connaissance approfondie', 'fonctions organisationnelles', 'manière constructive', ""l'analyse opérationnelle"", ""avantages d'affaires"", 'bon jugement', 'large éventail', 'l’efficience opérationnelle', 'approche adaptée', 'grand souci', 'vastes connaissances', 'risques relatifs', 'scénarios utilisateurs', 'lien direct', 'pensée lean', 'travail intéressant', 'pensée analytique', ""pratiques d'exécution"", 'd’excellentes relations', 'grande envergure', 'solutions possibles', 'stratégies d’affaires', 'grande visibilité']","['Connaissance', 'Risque', 'Management', 'Productivité', 'Méthodologie', 'Expérience', 'Partie prenante', 'Compétence', 'Employé', 'Business plan', 'Technologie', 'Résolution de problème', 'Développement durable', 'Informatique', 'Physique', 'Art', 'Environnement', 'Psychologie', 'Communication', 'Savoir-faire', 'Motivation', 'Hypothèse']",[],[],[]
36,Business Analyst I,TELUS Communications,"['identification  business case', 'paper  business case', 'business case development', 'business intelligence skills', 'exceptional customer experience', 'supply chain management', 'experience strong knowledge', 'financial modeling  delivery', 'exceptional analytical skills', 'client service managers', 'new launch perspective', 'improvement methodologies  communication', 'process improvement opportunities', 'great customer experiences', 'operational processes qualifications', 'pertinent information', 'bachelor degree  experience', 'big picture  sense', 'continuous improvement', 'business stakeholders', 'business analyst', 'business consultant', 'business analysts', 'wireless business', 'various stakeholders', 'evening/weekend support', 'telus communications', 'actuals automation', 'operational efficiencies', 'mortem measurement', 'supply operations', 'strong collaboration.', 'gtm meeting', 'line team', 'strong understanding', 'critical role', 'amazing team', 'lt dashboard', 'direct impact', 'strategic projects', 'time testing', 'new systems', 'customer needs', 'manual processes', 'effectiveness goals', 'post-launch support/testing', 'process development', 'needs assessment', 'analytical abilities', 'successful launch', 'agile environment', 'presentation fundamentals', 'complex issues', 'level audiences', 'systematic approach', 'impact assessments', 'liaise', 'domo', 'urgency', 'ability', 'work', 'ambiguity', 'whiteboard', 'interplay', 'reviews', 'opportunity', 'programs', 'market', 'initiatives/projects', 'baii', 'reporting', 'kpi/metrics', 'priorities', 'word', 'access', 'practices', 'problem', 'tools', 'problems', 'working', 'concepts', 'asset', 'job', 'outcomes']","['Management', 'Supply chain management', 'Problem solving', 'Business analyst', 'Agile software development', 'Logistics', 'Case', 'Telus', 'Strategic management', 'Inventory', 'Customer experience', 'Customer', 'Supply chain', 'Third-party logistics', 'Business', 'Production and manufacturing', 'Business analysis', 'Critical thinking', 'Demand chain management', 'Clearnet Communications', 'Autopsy']",[],"['team', 'team', 'team']",['tableau']
37,Business Analyst,Rogers Communications,"['data analysis', 'sales performance analysis', 'support regional sales', 'valuable insights sales', 'sales performance metrics', 'field sales directors/managers', 'field sales programs', 'national sales performance', 'conduct data analysis', 'field sales experience', 'support new projects', 'business case requirements', 'support requisition id', 'presentation skills experience', 'sales compensation', 'strong time management', 'gap closure requirements', 'removed. perform time', 'traffic conversion rates', 'customer care consultant', 'skills strong communications', 'data insight', 'senior leadership team', 'definite asset  knowledge/skills/other', 'complex datasets schedule', 'gap closure tactics', 'flex time length', 'customers simple solutions', 'accuracy ad hoc', 'proud canadian company', 'data insights', 'sales management', 'rogers communications', 'sales process', 'leverage data', 'impact analysis', 'support launch', 'business review', 'specific kpis', 'kpis ability', 'business drivers', 'business model', 'business processes', 'assigned.  experience', 'launch programs', 'performance results', 'business value', 'people.  accountabilities', 'regional nuances', 'key metrics', 'trends  programs', 'post-implementation review', 'channel management', 'quality adherence', 'project management', 'work location', 'rewarding career.', 'travel requirements', 'interpersonal skills', 'risk assessment', 'new opportunities', 'national level', 'traffic cube', 'channel marketing', 'team member', 'large datasets', 'time shift', 'deep dive', 'overall team', 'best practices', 'focus areas', 'special projects', 'analytical duties.', 'graduate degree', 'deep understanding', 'external traffic', 'deeper understanding', 'commission payments', 'different makes', 'strong commitment', 'powerpoint ability', 'strategic thinker', 'recruitment process', 'best work.', 'dixie road', 'equip people', 'multiple tasks', 'regular position', 'pride talk', 'individual accessibility', 'diverse teams', 'change', 'incentives', 'brampton', 'job', 'analytics', 'effectiveness', 'initiatives', '||', 'conversation']","['Sales', 'Management', 'Rogers Communications', 'Insight', 'Rogers Telecom']",[],"['passion', 'team', 'interpersonal', 'team', 'team', 'team']",['sql']
38,BUSINESS ANALYST,Achiga Inc.,"['project stakeholders', 'key project stakeholders', 'solid understanding', 'business rules requirements', 'facilitates requirements sessions', 'strong project management', 'email marketing experience', 'lead estimation process', 'project collaboration web', 'environment  excellent opportunities', 'saas product design', 'sales team  ability', 'business analyst', 'direct marketing principles', 'professional development  achiga', 'following industry verticals', 'consumer packaged goods', 'techniques  obsessive attention', 'interpersonal communication abilities', 'equal opportunity employer.', 'early opportunities', 'external stakeholders', 'technical requirements', 'business requirements.', 'business management', 'project vision', 'technical requirement', 'business priorities', 'technical architects.', 'digital products', 'digital solutions', 'new opportunities', 'technical issues', 'ux designers', 'consumer services', 'mobile products', 'financial services', 'hospitality industry', 'le meridien', 'new clients', 'digital design', 'hotel customers', 'subscription web', 'design hotels', 'global leader', 'additional products', 'achiga offerings', 'early calls', 'toronto office', 'architecture design', 'user needs', 'requirement gathering', 'st. regis', 'senior management', 'architectural complexities', 'great collaborator', 'hampton inns', 'hotel category', 'sales efforts', 'excellent attention', 'consistent vision', 'communication skills', 'university degree', 'problem-solving skills', 'professional reports', 'data mining', 'internet technologies', 'business-to-business technology', 'comprehensive health', 'dental benefits', 'senior-level executives', 'ongoing planning', 'self-described passion', 'competitive salary', 'acceptance criteria', 'significant negotiation', 'exciting role', 'realistic objectives', 'projects', 'scope', 'westin', 'sheraton', 'rfps', 'estimates', 'marriott', 'sme', 'world.', 'properties', 'day.', 'world', 'names', 'carlson-rezidor', 'points', 'set', 'team.', 'job', 'needed.', 'clients.', 'developers', 'developer']","['Management', 'Requirement', 'Hotel', 'Requirements analysis', 'Project management', 'Collaboration', 'Communication', 'Business', 'Requirements management', 'Project', 'Marketing', 'Equal opportunity', 'Business analysis', 'Egalitarianism']",['statistics'],"['team', 'communicate', 'team', 'team', 'verbal', 'interpersonal', 'passion']",[]
39,Business Analyst Full-Time,DSI,"['excellent requirement traceability', 'player. excellent experience', 'business requirement documents', 'cases. excellent process', 'skills. excellent team', 'senior business analyst', 'project support activities', 'nonfunctional requirements documents', 'project status reports', 'business process tools', 'client business processes', 'successful project delivery', 'fast paced environment', 'full-time required experience', 'matrix mapping experience', 'function specifications documents', 'technical writing skills', 'steering committee reports', 'client server applications.', 'software development life', 'experience. job type', 'project manager', 'technical requirements', 'business requirements', 'detailed business', 'project risks', 'ms project', 'experience coordinating', 'technical specifications', 'documentation skills.', 'problem solving.', 'product functionality.', 'strong communication', 'application testing', 'sequence diagram', 'ideal candidate', 'new work', 'key role', 'mobile applications', 'requirements/change management', 'impact analysis', 'broad range', 'database integration', 'gap analysis', 'vaughan office', 'better understanding', 'sdlc', 'identification', 'dufferin', 'stakeholders', 'reviews', 'customers', 'requirements.', 'presentation', 'defects', 'issues', 'projects', 'modeling', 'activity', 'online', 'technologies', 'modeling.', 'salary']","['Requirement', 'Problem solving', 'Unified Modeling Language', 'Requirements analysis', 'Software requirements', 'Process management', 'User story', 'Business process modeling', 'Business analyst', 'Business Process Modeling Notation', 'Requirements traceability', 'Traceability matrix', 'Microsoft Office', 'Client-server', 'Requirements management', 'Microsoft Visio', 'Project management', 'Flowchart', 'Management', 'Requirement prioritization', 'Specification', 'Microsoft', 'Business process', 'Technical communication', 'Documentation', 'Business process reengineering', 'Project manager', 'Non-functional requirement', 'Technical support']",['database'],"['team', 'passion', 'team']",[]
40,Business Analyst,Indigo Books & Music,"['detailed user stories', 'effectively sequence work', 'user stories ability', 'key digital initiatives', 'multiple technology teams', 'path forward ability', 'leverage internal data', 'time management skills', 'author detailed user', 'delivery conduct research', 'indigo.ca experience.  partner', 'track lead creation', 'end-user-facing digital experiences', 'demanding environment resilience', 'sprint plans', 'additional information   indigo', 'product management', 'contact human resources', 'equal opportunity. accommodations', 'business analyst', 'potential tradeoffs', 'customer-facing platform', 'analytics teams', 'analytics primes', 'mvp approach', 'business stakeholders', 'job description', 'delivery experience', 'various technology', 'written skills', 'fast-paced environment', 'business level', 'excellent attention', 'progressive experience', 'burn-up/down charts', 'hands-on experiences', 'university degree', 'degree program', 'project manager', 'decision making', 'tough questions', 'acceptance criteria', 'complex concepts', 'various levels', 'recruitment process.', 'organizational projects', 'welcome home', 'individual accessibility', 'initiative progress', 'scope', 'outcomes', 'applicants', 'timelines', 'books', 'music', 'changes', 'liaise', 'scrum', 'dependencies', 'reviews', 'identification', 'course', 'impact', 'customers', 'design', 'translations', 'budget', 'event', 'engineering', 'science', 'developer', 'problem', 'success', 'strategies', 'dignity', 'people', 'way', 'independence.', 'integration', 'request']","['Management', 'Project management', 'Problem solving', 'Agile software development', 'Academic degree', 'Planning', 'Recruitment', 'Critical thinking', 'Leadership', 'The Delivery', 'Business analyst', 'Time management', ""Master's degree""]",[],"['interpersonal', 'verbal', 'communicate']",[]
41,"Analyst, People Reporting & Analytics",Deloitte,"['people analytics team', 'success factors', 'talent analytics job', 'broader people analytics', 'reporting tools scope', 'following.  key accountabilities', 'mindset superior communication', 'permanent primary location', 'support junior team', 'key business initiatives', 'central shared mailbox', 'new technology tools', 'client service orientation', 'members daily collaboration', 'human rights codes', 'you. deloitte', 'reporting requirements', 'reporting analyst', 'ad-hoc reports', 'key member', 'available locations', 'multi-tasking environment', 'trend analysis', 'endless opportunities', 'career goals', 'implement processes', 'greater impact', 'work. qualifications', 'formal education', 'best leaders', 'significant assets', 'process. information', 'innovative spaces', 'deep sense', 'inclusive employer', 'accessibility needs', 'diverse workforce.', 'cognos', 'stakeholders', 'peoplesoft', 'dashboards', 'firm', 'minimum', 'design', 'experience', 'level', 'candidates', 'visualizations', 'commitments', 'proficiency', 'reviews', 'type', 'description', 'data', 'projects.', 'variety', 'test', 'requests', 'automation', 'training', 'finance.', 'ms', 'skills', 'degree', 'university', 'recruiter', 'culture', 'conditions', 'world', 'way', 'self', 'firm.', 'applications', 'recruitment', 'selection', 'accommodation', 'confidentially.', 'interview', 'queries', 'accuracy', 'hr', 'powerpoint', 'bachelor', 'narrative', 'insights', 'turn', 'launch']",['Business intelligence'],[],"['team', 'team', 'team']",[]
42,Business Analyst,MED e-care Healthcare Solutions,"['business analyst', 'title business analyst', 'business analyst reports', 'ba manager job', 'ba gathers information', 'consistent user experience.', 'e-care healthcare solutions', 'detail-oriented design-oriented job', 'product management reports', 'relevant internal stakeholders', 'long-term strategic plan', 'health information business', 'appropriate technical analysis', 'experience software design', 'researches market trends', 'language critical/analytical thinking', 'business requirements', 'development team', 'business/client perspective.', 'software systems', 'behaviours. responsibilities', 'duties designs', 'internal departments', 'new system functionality', 'external sources', 'current practices', 'specification documents', 'new features', 'relevant technologies', 'basic understanding', 'auditing purposes', 'excel/word', 'modifications', 'products', 'end-users', 'timelines', 'company', 'ceo.', 'capabilities', 'specifications', 'behalf', 'changes', 'review', 'tracking', 'needs', 'experiences', 'release', 'skills', 'structures']","['Design', 'Management', 'Strategic management', 'Analysis']",[],"['team', 'communicate']",[]
43,Business Analyst,Digitalembrace Inc.,"['business systems analyst', 'business analysis experience', 'excellent communication skills', 'lifecycles. proven ability', 'previous technical experience', 'design excellent problem', 'tight deadlines. leadership', 'full-time required experience', 'web application development', 'successful candidate', 'qualified candidate', 'jad sessions', 'solution implementations', 'business requirements', 'architectural artefacts', 'main products', 'microsoft dynamics', 'software solutions', 'multiple roles', 'maintenance support', 'client projects', 'logical designs', 'following skills', 'client solutions', 'analytical skills', 'data models', '.net environment', 'job type', 'digitalembrace', 'team', 'workflows', 'qualities', 'licenses', 'deployment', 'ontario', 'management', 'growth', 'team.', 'presentation']","['Requirements analysis', 'Management', 'Systems analysis', 'Microsoft Dynamics', 'Microsoft Dynamics CRM', 'Analysis', 'Requirement', 'Business analyst', 'Communication', 'Business', 'Leadership', 'Problem solving', 'Marketing', 'Microsoft', 'Software requirements', 'Graphic communication', 'Web development', 'Strategic management', 'User story', 'Project management', 'Critical thinking', 'Writing', 'Following', 'Systems analyst', 'The A-Team', 'Business analysis', 'Web application development', 'Software Requirements Specification', 'Computer software', 'Skill']",[],"['team', 'team', 'team', 'communicate']",[]
44,Business Analyst,"Connor, Clark & Lunn Private Capital","['lunn financial group', 'business data integrity', 'lunn private capital', 'business analyst', 'financial assets connor', 'data analytical experience', 'invalid data value', 'investment management services', 'record perform data', 'continuously monitor data', 'asset management firm', 'money management services', 'affiliated investment managers', 'financial services industry', 'time management skills', 'toronto office. role', 'interpersonal communication skills', 'vba strong aptitude', 'procedural documentation updates', 'fast paced', 'relational databases proficiency', 'business operations', 'business results', 'business performance', 'business needs', 'business areas', 'data requirements', 'business administration', 'investigate data', 'historical data', 'business objectives', 'data extracts', 'senior management', 'analytical solutions', 'data-driven insights', 'data-driven strategies', 'non-financial information', 'effective reporting', 'new york', 'tableau-driven dashboards', 'skills ability', 'analytic partners', 'end users', 'pension plans', 'information technology', 'analytics analyze', 'communicate information', 'equivalent experience', 'solid understanding', 'technical assistance', 'aboriginal groups', 'company book', 'analytics tools', 'testing support', 'individual investors', 'environment. responsibilities', 'pivot tables', 'university degree', 'sound knowledge', 'power bi', 'update procedures', 'high level', 'cover letter', 'subject line.', 'job type', 'recruitment agencies', 'vice president', 'institutional investors', 'analytic thinking', 'clark', 'accuracy', 'reports', 'position', 'granularity', 'look-ups', 'stakeholders', 'individuals', 'foundations.', 'conditions', 'success', 'clients', 'offices', 'vancouver', 'calgary', 'chicago', 'england', 'endowments.', 'purpose', 'trends.', 'review', 'design', 'levels', 'relationship', 'resource', 'produce', 'processes', 'quality', 'projects', 'statistics', 'qliksense']","['Investment management', 'Financial services', 'Management', 'Data management', 'Investment', 'Business terms', 'Strategic management', 'Business school', 'Finance', 'Business', 'Analytical chemistry', 'Collective investment scheme', 'Communication', 'Interpersonal communication', 'Spreadsheet', 'Problem solving', 'Business intelligence', 'Data quality', 'Active management', 'The Analyst', 'Analytic', 'Capital', 'Business analyst', 'Analytic philosophy', 'Insurance', 'Accuracy and precision', 'Analytic capacity', 'Administration', 'Organization', 'Financial Times', 'Data cleansing', 'Asset']",['statistics'],"['communicate', 'interpersonal']","['tableau', 'tableau', 'sql']"
45,Business Analyst,SIRIUS XM CANADA INC.,"['business requirements business', 'field job-related experience', 'company business systems', 'escalation proficient business', 'quality control experience', 'business analysis', 'project management techniques', 'implementation planning experience', 'full-time required experience', 'troubleshoot operational issues', 'technology systems. accountabilities', 'management services applications', 'client relationship management', 'planning conduct implementation', 'systems development life', 'potential risk events', 'proper mitigating strategies', 'lead multiple initiatives', 'verbal communication skills', 'application. job type', 'project issues', 'microsoft sql applications', 'savvy team player', 'associate job location', 'quality assurance', 'deliverables ability', 'specific deliverables', 'business needs', 'business analyst', 'business pressures', 'experience resource', 'project reports', 'deadline experience', 'strong experience', 'potential issues', 'project progress', 'job summary', 'analysis skills', 'it-enabled opportunities', 'post-implementation validation', 'test preparation', 'test cases', 'necessary brd', 'projects level', 'engaging management', 'viable solutions', 'frd documentation', 'asset skills', 'test scenarios', 'conceptual skills', 'senior level', 'college diploma', 'mitigation strategies', 'issue logs', 'service owner', 'committee members', 'technical advisor', 'track record', 'deployment schedules', 'strict deadlines', 'life cycles', 'current cv', 'support', 'history', 'aspects', 'problems', 'knowledge', 'manager', 'monitoring', 'education', 'coordination', 'resolution', 'articulation', 'canada', 'stakeholders', 'options', 'information', 'hand-off', 'operations', 'science', 'subscription', 'variety', 'levels', 'communications', 'priorities', 'background', 'activities', 'maintenance', 'toronto', 'expectations', 'timelines', 'metrics', 'conflicts', 'coordinating', 'methodologies']","['Management', 'Project management', 'Marketing', 'Systems Development Life Cycle', 'Business', 'Requirement', 'Business analysis', 'Quality control', 'Deliverable', 'Requirements analysis', 'Construction', 'Project', 'Work breakdown structure', 'Business analyst', 'Software development', 'Problem solving', 'Quality assurance', 'XM Satellite Radio', 'Earned value management', 'Systems analysis', 'SAT', 'Business school']",[],"['team', 'verbal']",[]
46,"Consultant, Business Analyst, Dealer Technology",Toyota,"['business analyst dealer', 'assignment support business', 'others. business knowledge', 'business process models', 'future business environment', 'needed. business planning', 'business process redesign', 'communicate business requirements', 'domains. analyzes business', 'business unit managers', 'progressive business analyst', 'business partners', 'business strategic direction', 'business requirement. competencies', 'managing business partnership', 'business needs', 'business domain', 'business case', 'business solutions', 'business community/dealers', 'business function', 'business practice', 'business area', 'technology p-4 scarborough', 'business units', 'technical support work', 'business users', 'business expectations.', 'business domain.', 'long-term business', 'business administration', 'business analysis.', 'incident/problem/change management processes', 'specific technology sectors.', 'champion key technology', 'project leader role', 'project activities. lead', 'independently. technical skills', 'time permanent opportunity', 'dealer tech team', 'information services department.', 'process flow documentation', 'business. requirement analysis', 'wide environment. experience', 'practice. analyze requirements', 'oriented. excellent planning', 'subject matter expert', 'environment. cross ba', 'user acceptance testing', 'conduct regular reviews', 'related disciplines experience', 'visible minority groups', 'organizational skills ability', 'technology solutions', 'technical solutions', 'solid understanding', 'domain knowledge', 'job summary', 'tci standards', 'dealer technology.', 'technical problems', 'project approval.', 'functions. possesses', 'analyst experience', 'escalated items.', 'prioritize requests', 'functional specifications', 'impact analysis', 'team environment.', 'strong knowledge', 'process improvement', 'exciting opportunity', 'interface points', 'national managers', 'competitive edge.', 'upcoming initiatives.', 'automotive enthusiast', 'building relationship', 'architecture roadmap.', 'partner’s operations', 'university degree', 'communication skills.', 'smooth integration.', 'enhancement request', 'aboriginal persons', 'employment equity', 'technological trends', 'projects', 'candidate', 'systems', 'enterprise', 'disabilities', 'toyota', 'inter-relationship', 'liaise', 'deliverables', 'consultant', 're-engineering', 'individual', 'resources']","['Management', 'Business process modeling', 'Business analyst', 'Project management', 'Requirement', 'Business', 'Process management', 'Requirements analysis', 'Corporation', 'Strategic management', 'Systems analysis', 'Business analysis', 'Toyota', 'Technical support', 'Partnership', 'Knowledge', 'Business process reengineering', 'Understanding', 'Limited liability partnership', 'Functional specification', 'Toyota Canada Inc.', 'Business process', 'Disability', 'Limited partnership']",[],"['communicate', 'team', 'team', 'verbal', 'team']",[]
47,Business Analyst,GS-1 Canada,"['business solutions', 'business solutions analyst', 'business solutions development', 'role  business solutions', 'business requirements.  experience', 'business directions.  work', 'solutions development    tier', 'business needs.  duties', 'solutions analyst    reports', 'communicate potential solutions', 'canada core technology', 'solution development projects.', 'canada technology platforms', 'solution development processes.', 'business/client engagement.  experience', 'experience formal education', 'technical requirements.  assist', 'cross-functional team meetings', 'project management office', 'projects.  strong process', 'common database knowledge', 'perform various analyses', 'process re-engineering skills.', 'permanent    job number', 'project management methodologies.', 'work experience.  certification', 'subject matter expertise', 'multiple projects.  evangelist', 'strong analytical skills', 'validate technical design', 'scrum master roles', 'deadlines.  proven ability', 'certification   university degree', 'senior manager', 'excellent communication skills', 'supply chain technologies', 'ms office suite', 'organization.  strong orientation', 'access.  entrepreneurial spirit', 'business analyst', 'equal opportunity employer.', 'client’s business', 'high level', 'business administration', 'business analysis', 'business processes', 'development teams', 'gs-1 canada', 'canada    location', 'workflows.  experience', 'trends.  experience', 'project basis.', 'professional knowledge', 'technology    company', 'project activities', 'process improvements', 'solution analysis', 'technology-based solutions.', 'ms project', 'necessary analyses', 'assessment process', 'user testing', 'key contributor', 'staff    department', 'user stories', 'toronto    status', 'analytical services.', 'sdlc execution', 'internal clients', 'ever-changing needs.', 'results-based environment', 'product owner', 'successful implementation', 'r&d initiatives', 'presentations.  customer', 'complex issues', 'procedural documents', 'understandable manner.', 'decision making', 'data analytics', 'gathering platform/system/process', 'human resources', 'agile methodology', 'negotiation skills.', 'successful relationships', 'individual', 'responsibilities', 'mapping', 'interview', 'incumbent', 'support', 'time', 'visio', 'developers', 'information', 'research', 'format', 'audience.', 'owners', 'functions.']","['Business analyst', 'Project management', 'Microsoft Office', 'Agile software development', 'Management', 'Requirement', 'Scrum', 'User story', 'Business', 'Entrepreneurship', 'Requirements analysis', 'Systems analysis', 'Extreme Programming', 'Business process reengineering', 'Business process modeling', 'Knowledge', 'Analysis', 'Project', 'Business school', 'Business analysis', 'Process management', 'Subject matter', 'Subject matter expert', 'Communication', 'Egalitarianism']",['database'],"['team', 'team', 'communicate', 'verbal', 'team']",['sql']
48,Business Analyst,CaseWare,"['work environment  ability', 'office licensing team.', 'team environment.  ability', 'constant changing work', 'crm experience  self-starter', 'data mining/data analytics', 'business administration/commerce  experience', 'thinking skills  customer', 'customer service', 'various reconciliations', 'ad-hoc analysis', 'business analyst', 'power bi', 'fast paced', 'bi tool', 'technology.  responsibilities', 'current process', 'various departments', 'special projects', 'multiple accounting', 'billing departments', 'billing systems', 'subsidiary entities', 'data/process flows', 'ongoing improvements', 'end users', 'complex logic', 'complex problems', 'degree / diploma', 'building reports/dashboards', 'great attention', 'great asset', 'caseware', 'sales', 'processes', 'ambition', 'preference', 'reviews', 'individuals', 'marketing', 'teams', 'developing', 'investigation', 'projects/tasks', 'requirements', 'information', 'details', 'variety', 'people', 'results', 'focus', 'communication', 'job']","['Critical thinking', 'Customer service', 'Thought', 'Sales', 'Business', 'Problem solving', 'Customer', 'Business terms']",[],"['team', 'passion', 'team', 'verbal']",[]
49,Business Analyst,Ontario Securities Commission,"['subject matter expert', 'business performance data', 'analyze business data', 'osc email address**', 'business intelligence', 'data management  liaise', 'data management processes', 'research.troubleshoot data gaps', 'business planning objectives', 'necessary business intelligence', 'large data sets', 'business analyst', 'operational key performance', 'ontario securities commission', 'strategic management decisions.', 'constraints.   project management', 'data analytics', 'global securities regulation', 'annual performance reports', 'department outcomes.   key', 'intelligence subject matter', 'efficient capital markets', 'flexible work environment', 'quantitatively focused discipline.', 'important public face', 'ad-hoc reports. administer', 'resource intensive processes', 'operations branch', 'conversion activities.  qualifications', 'contact centre', 'database support', 'financial services industry', 'project management discipline', 'team environment. knowledge', 'data discrepancy', 'operational improvement disciplines', 'critical data', 'complex data', 'data collection', 'sql platforms. ability', 'analytics services', 'data extracts', 'inclusive workplace environment', 'business degree', 'reporting tools', 'business requirements', 's&o branch', 'securities law', 'permanent     strategy', 'key functions', 'operational improvements', 'contact centre.', 'capital markets.', 'fraudulent practices', 'enforcement work.', 'rewarding work.', 'internal database', 'transformative change.', 'analysis experience', 'strategic goals.', 'full-time  file', 'internal databases.', 'analytic services', 'undergraduate degree', 'master degree', 'deep understanding', 'professional experience', 'report development', 'technical stakeholders', 'high-quality reports', 'comprehensive information', 'infrastructure support', 'application design', 'reporting/data requirements', 'exciting period', 'market participants', 'ideal candidate', 'indicator targets', 'strong expertise', 'successful candidate', 'crystal reports', 'advanced ms', 'pivot tables', 'following qualifications', 'concise formats.', 'taleo profile', 'high volumes', '**internal applicants', 'minimal supervision', 'mandate', 'inquiries', 'accessibility', 'variety', 'sources', 'production', 'adjudication', 'reviews', 'province', 'protection']","['Business intelligence', 'Data analysis', 'Microsoft SQL Server', 'Management', 'Data management', 'U.S. Securities and Exchange Commission', 'Business terms', 'Data', 'Analytics', 'Financial regulation', 'Business', 'Business school', 'Project management', 'Strategic management', 'Microsoft Visual Studio', 'Microsoft', 'Securities Commission', 'Data visualization', 'Business analytics']","['database', 'database', 'database']",['team'],[]
50,Business Analyst,RBC,"['business analysis', 'business analysis planning', 'business analysis approach', 'business analysis certification', 'vendors. requirements management', 'capital markets', 'lead requirements activities', 'results-oriented business analyst', 'quality products/services. work', 'production support teams', 'opportunity employment rbc', 'capital markets team', 'st west work', 'rbc royal bank', 'requirements analysis', 'markets industry experience', 'project management institute', 'great career opportunities', 'stakeholder analysis', 'iterative approach. experience', 'greater accountabilities opportunities', 'data mapping documents', 'documentation previous/current capital', 'junior team members', 'centralized trade data', 'fast paced environment.', 'diversified financial services', 'capital markets products', 'services flexible work/life', 'permanent career level', 'finished projects. leadership', 'analytical skills. expertise', 'consumers. technical skills', 'balance options opportunities', 'requirements. murex fx', 'equal opportunity employer', 'total rewards program', 'office employment type', 'world-class training program', 'salaried required travel', 'aboriginal/native american status', 'request. job summary', 'medium complexity sql', 'factors. disability-related accommodations', 'hire/professional pay type', 'career alerts', 'work flows', 'work environment', 'estimate requirements', 'gathering requirements', 'relationship management', 'development teams', 'qa teams', 'credit experience', 'wealth management', 'qa activities', 'career tips', 'high-performing team', 'production support.', 'manage process', 'agile environment', 'documentation – facilitate', 'test plans', 'largest bank', 'investor services', 'asset classes', 'institutional clients', 'manage risks', 'pmi – pba', 'global basis.', 'application process', 'competitive compensation', 'rbc. sign', 'different initiatives', 'market capitalization.', 'north america', 'commercial banking', 'latest jobs', 'recruitment events', 'people manager', 'new future', 'applicable leaders', 'req id', 'part-time employees', 'close relationships', 'largest banks', 'acceptance criteria', 'flexible benefits', 'application deadline', 'effort estimation', 'sexual orientation', 'veterans status', 'visit rbc.com', 'public sector', 'gender identity', 'national origin', 'elicitation', 'communities', 'canada', 'fpml']","['Requirements analysis', 'Project management', 'Business analyst', 'Business analysis', 'Systems analysis', 'Requirement', 'Equal opportunity', 'Business', 'Requirements management']",[],"['team', 'consulting', 'team', 'team', 'passion']",[]
